2017/10/12 02:42:50 Starting decoder6
2017/10/12 02:42:50 file blocksize  25
2017/10/12 03:53:50 blockbuffer value  200867255532373784442745261542645325319233616083341465120544
2017/10/12 03:55:49 blockbuffer value  200867255532373784442745261542645325319343567246119065120544
2017/10/12 03:57:48 blockbuffer value  200867255532373784442745261542645325319453518408896665120544
2017/10/12 03:59:47 blockbuffer value  200867255532373784442745261542645325319563469571674265120544
2017/10/12 04:01:46 blockbuffer value  200867255532373784442745261542645325319673420734451865120544
2017/10/12 04:03:44 blockbuffer value  200867255532373784442745261542645325319783371897229465120544
2017/10/12 04:05:42 blockbuffer value  200867255532373784442745261542645325319893323060007065120544
2017/10/12 04:07:40 blockbuffer value  200867255532373784442745261542645325320003274222784665120544
2017/10/12 04:09:38 blockbuffer value  200867255532373784442745261542645325320113225385562265120544
2017/10/12 04:11:36 blockbuffer value  200867255532373784442745261542645325320223176548339865120544
2017/10/12 04:13:34 blockbuffer value  200867255532373784442745261542645325320333127711117465120544
2017/10/12 04:15:32 blockbuffer value  200867255532373784442745261542645325320443078873895065120544
2017/10/12 04:17:30 blockbuffer value  200867255532373784442745261542645325320553030036672665120544
2017/10/12 04:19:29 blockbuffer value  200867255532373784442745261542645325320662981199450265120544
2017/10/12 04:21:27 blockbuffer value  200867255532373784442745261542645325320772932362227865120544
2017/10/12 04:23:26 blockbuffer value  200867255532373784442745261542645325320882883525005465120544
2017/10/12 04:25:24 blockbuffer value  200867255532373784442745261542645325320992834687783065120544
2017/10/12 04:27:23 blockbuffer value  200867255532373784442745261542645325321102785850560665120544
2017/10/12 04:29:21 blockbuffer value  200867255532373784442745261542645325321212737013338265120544
2017/10/12 04:31:20 blockbuffer value  200867255532373784442745261542645325321322688176115865120544
2017/10/12 04:33:19 blockbuffer value  200867255532373784442745261542645325321432639338893465120544
2017/10/12 04:35:17 blockbuffer value  200867255532373784442745261542645325321542590501671065120544
2017/10/12 04:37:15 blockbuffer value  200867255532373784442745261542645325321652541664448665120544
2017/10/12 04:39:14 blockbuffer value  200867255532373784442745261542645325321762492827226265120544
2017/10/12 04:41:13 blockbuffer value  200867255532373784442745261542645325321872443990003865120544
2017/10/12 04:43:12 blockbuffer value  200867255532373784442745261542645325321982395152781465120544
2017/10/12 04:45:11 blockbuffer value  200867255532373784442745261542645325322092346315559065120544
2017/10/12 04:47:09 blockbuffer value  200867255532373784442745261542645325322202297478336665120544
2017/10/12 04:49:08 blockbuffer value  200867255532373784442745261542645325322312248641114265120544
2017/10/12 04:51:07 blockbuffer value  200867255532373784442745261542645325322422199803891865120544
2017/10/12 04:53:06 blockbuffer value  200867255532373784442745261542645325322532150966669465120544
2017/10/12 04:55:05 blockbuffer value  200867255532373784442745261542645325322642102129447065120544
2017/10/12 04:57:04 blockbuffer value  200867255532373784442745261542645325322752053292224665120544
2017/10/12 04:59:02 blockbuffer value  200867255532373784442745261542645325322862004455002265120544
2017/10/12 05:01:00 blockbuffer value  200867255532373784442745261542645325322971955617779865120544
2017/10/12 05:02:58 blockbuffer value  200867255532373784442745261542645325323081906780557465120544
2017/10/12 05:04:56 blockbuffer value  200867255532373784442745261542645325323191857943335065120544
2017/10/12 05:06:54 blockbuffer value  200867255532373784442745261542645325323301809106112665120544
2017/10/12 05:08:52 blockbuffer value  200867255532373784442745261542645325323411760268890265120544
2017/10/12 05:10:50 blockbuffer value  200867255532373784442745261542645325323521711431667865120544
2017/10/12 05:12:48 blockbuffer value  200867255532373784442745261542645325323631662594445465120544
2017/10/12 05:14:46 blockbuffer value  200867255532373784442745261542645325323741613757223065120544
2017/10/12 05:16:44 blockbuffer value  200867255532373784442745261542645325323851564920000665120544
2017/10/12 05:18:42 blockbuffer value  200867255532373784442745261542645325323961516082778265120544
2017/10/12 05:20:40 blockbuffer value  200867255532373784442745261542645325324071467245555865120544
2017/10/12 05:22:37 blockbuffer value  200867255532373784442745261542645325324181418408333465120544
2017/10/12 05:24:36 blockbuffer value  200867255532373784442745261542645325324291369571111065120544
2017/10/12 05:26:34 blockbuffer value  200867255532373784442745261542645325324401320733888665120544
2017/10/12 05:28:32 blockbuffer value  200867255532373784442745261542645325324511271896666265120544
2017/10/12 05:30:30 blockbuffer value  200867255532373784442745261542645325324621223059443865120544
2017/10/12 05:32:28 blockbuffer value  200867255532373784442745261542645325324731174222221465120544
2017/10/12 05:34:26 blockbuffer value  200867255532373784442745261542645325324841125384999065120544
2017/10/12 05:36:24 blockbuffer value  200867255532373784442745261542645325324951076547776665120544
2017/10/12 05:38:22 blockbuffer value  200867255532373784442745261542645325325061027710554265120544
